nhead,embedding_size,num_layers,epoch,acc,auroc,f1
1,256,1,5,44.2727,0.8204,0.3724
1,256,1,10,51.7891,0.8735,0.4845
1,256,1,15,53.8429,0.8882,0.5071
1,256,1,20,54.8592,0.8929,0.528
1,256,1,25,55.3038,0.8955,0.5307
1,256,1,30,55.0921,0.8877,0.5117
1,256,1,35,54.0123,0.8825,0.5153
1,256,1,40,53.5676,0.8771,0.5063
1,256,1,45,51.1116,0.8736,0.499
1,256,1,50,52.0644,0.8708,0.5062
4,256,1,5,45.7125,0.8326,0.398
4,256,1,10,51.2174,0.8772,0.4815
4,256,1,15,54.5839,0.8913,0.5111
4,256,1,20,54.9015,0.8929,0.506
4,256,1,25,54.7322,0.8934,0.5269
4,256,1,30,54.0546,0.8896,0.5233
4,256,1,35,53.8641,0.8854,0.5123
4,256,1,40,52.5725,0.8752,0.5085
4,256,1,45,52.3184,0.8762,0.4958
4,256,1,50,50.6458,0.8682,0.4917
8,256,1,5,44.8656,0.8258,0.373
8,256,1,10,52.3396,0.8753,0.5006
8,256,1,15,54.4357,0.8855,0.5108
8,256,1,20,55.4944,0.8925,0.5285
8,256,1,25,54.5416,0.8926,0.5295
8,256,1,30,53.9911,0.888,0.5182
8,256,1,35,51.2386,0.8778,0.4778
8,256,1,40,54.1605,0.879,0.521
8,256,1,45,52.7631,0.876,0.5133
8,256,1,50,52.5090,0.8709,0.5016
16,256,1,5,45.5007,0.8289,0.3975
16,256,1,10,51.7044,0.8742,0.477
16,256,1,15,54.4146,0.8912,0.5204
16,256,1,20,54.3934,0.8951,0.5183
16,256,1,25,53.5253,0.893,0.5127
16,256,1,30,54.8592,0.8911,0.527
16,256,1,35,52.1491,0.882,0.4933
16,256,1,40,52.1491,0.8763,0.5035
16,256,1,45,51.3233,0.8748,0.4885
16,256,1,50,51.6409,0.8721,0.5033
1,256,3,5,48.6979,0.8457,0.4511
1,256,3,10,52.3396,0.8871,0.5001
1,256,3,15,52.7419,0.8872,0.4908
1,256,3,20,53.1442,0.8826,0.4969
1,256,3,25,53.1230,0.879,0.4985
1,256,3,30,51.7468,0.8681,0.4937
1,256,3,35,51.9373,0.8709,0.4938
1,256,3,40,49.9894,0.8642,0.4775
1,256,3,45,48.4014,0.8534,0.4694
1,256,3,50,50.3705,0.8551,0.4865
4,256,3,5,46.3900,0.8458,0.4196
4,256,3,10,52.6996,0.8843,0.4906
4,256,3,15,53.1230,0.8887,0.508
4,256,3,20,52.9536,0.8786,0.501
4,256,3,25,50.9845,0.8654,0.4973
4,256,3,30,49.9047,0.8583,0.4764
4,256,3,35,49.9259,0.8559,0.485
4,256,3,40,49.7989,0.8559,0.4758
4,256,3,45,50.6034,0.8522,0.4827
4,256,3,50,48.8672,0.8488,0.4733
8,256,3,5,47.6392,0.8421,0.4222
8,256,3,10,52.1702,0.8859,0.4926
8,256,3,15,54.5839,0.8906,0.5229
8,256,3,20,52.9325,0.885,0.5056
8,256,3,25,50.7516,0.868,0.4982
8,256,3,30,49.5448,0.8665,0.4757
8,256,3,35,50.3917,0.8608,0.4885
8,256,3,40,49.5660,0.8507,0.4743
8,256,3,45,50.6881,0.8573,0.4857
8,256,3,50,49.7989,0.8551,0.4798
16,256,3,5,47.8298,0.8486,0.4425
16,256,3,10,51.7468,0.8841,0.4784
16,256,3,15,53.8217,0.8911,0.5158
16,256,3,20,54.4781,0.8764,0.5106
16,256,3,25,49.2272,0.867,0.4789
16,256,3,30,49.7353,0.8565,0.4811
16,256,3,35,50.5399,0.8594,0.4949
16,256,3,40,50.1164,0.8517,0.4823
16,256,3,45,50.5187,0.8501,0.4833
16,256,3,50,51.0904,0.8511,0.4912
1,256,6,5,46.3053,0.8484,0.4233
1,256,6,10,51.6621,0.8766,0.4827
1,256,6,15,53.0383,0.8814,0.5044
1,256,6,20,52.0855,0.8802,0.5034
1,256,6,25,52.6784,0.8731,0.508
1,256,6,30,50.2858,0.8677,0.4859
1,256,6,35,52.2337,0.8624,0.5018
1,256,6,40,49.9894,0.867,0.4766
1,256,6,45,50.2435,0.8572,0.4819
1,256,6,50,50.2858,0.8522,0.4889
4,256,6,5,50.0741,0.8609,0.4635
4,256,6,10,51.4715,0.8904,0.4999
4,256,6,15,52.8054,0.8877,0.5203
4,256,6,20,53.8429,0.8817,0.5174
4,256,6,25,52.3184,0.8721,0.502
4,256,6,30,50.3070,0.8576,0.4877
4,256,6,35,49.2907,0.8494,0.4758
4,256,6,40,50.4764,0.8645,0.4841
4,256,6,45,49.7142,0.8582,0.4736
4,256,6,50,49.9894,0.854,0.4847
8,256,6,5,48.2109,0.8634,0.4406
8,256,6,10,53.9064,0.888,0.503
8,256,6,15,53.1865,0.8905,0.4996
8,256,6,20,52.9748,0.8803,0.501
8,256,6,25,51.4503,0.8642,0.4917
8,256,6,30,50.0318,0.8551,0.4816
8,256,6,35,49.5660,0.85,0.4709
8,256,6,40,49.6295,0.8478,0.4664
8,256,6,45,49.5236,0.8522,0.4821
8,256,6,50,50.4764,0.8475,0.484
16,256,6,5,46.6653,0.8441,0.4201
16,256,6,10,52.4031,0.8843,0.5029
16,256,6,15,53.0807,0.8901,0.5004
16,256,6,20,52.0644,0.8784,0.5119
16,256,6,25,49.9682,0.8614,0.4806
16,256,6,30,51.1963,0.8546,0.4913
16,256,6,35,50.3494,0.8515,0.485
16,256,6,40,48.8037,0.8483,0.4757
16,256,6,45,49.5660,0.8482,0.4762
16,256,6,50,49.4177,0.8481,0.4793
1,256,10,5,46.2206,0.8475,0.3732
1,256,10,10,44.3997,0.8581,0.404
1,256,10,15,48.3379,0.8704,0.4585
1,256,10,20,49.2907,0.8558,0.4579
1,256,10,25,51.7468,0.8754,0.502
1,256,10,30,52.5937,0.8755,0.5086
1,256,10,35,48.4226,0.8641,0.4561
1,256,10,40,51.8103,0.8639,0.4981
1,256,10,45,52.0220,0.8714,0.4986
1,256,10,50,53.0595,0.8709,0.5029
4,256,10,5,44.9714,0.8334,0.3666
4,256,10,10,51.2810,0.8775,0.4837
4,256,10,15,48.4438,0.8569,0.4527
4,256,10,20,46.1994,0.8651,0.412
4,256,10,25,50.9845,0.8707,0.4765
4,256,10,30,52.5937,0.8647,0.4795
4,256,10,35,48.6767,0.8646,0.4615
4,256,10,40,51.0692,0.8686,0.4932
4,256,10,45,47.9145,0.8461,0.4518
4,256,10,50,53.1018,0.8677,0.5029
8,256,10,5,47.3428,0.8452,0.4449
8,256,10,10,47.4698,0.8696,0.4297
8,256,10,15,51.1328,0.8635,0.4493
8,256,10,20,52.0644,0.8803,0.4798
8,256,10,25,52.1702,0.8769,0.5082
8,256,10,30,52.4031,0.8784,0.5119
8,256,10,35,52.3396,0.8702,0.4901
8,256,10,40,51.4927,0.8653,0.4906
8,256,10,45,50.2011,0.8625,0.4897
8,256,10,50,50.2858,0.8627,0.4589
16,256,10,5,46.0936,0.8352,0.3873
16,256,10,10,49.1001,0.8737,0.4621
16,256,10,15,49.7142,0.8628,0.4542
16,256,10,20,51.5562,0.8761,0.4862
16,256,10,25,33.7921,0.77,0.1818
16,256,10,30,22.2105,0.605,0.03635
16,256,10,35,22.2105,0.4972,0.03635
16,256,10,40,22.2105,0.5075,0.03635
16,256,10,45,22.2105,0.4983,0.03635
16,256,10,50,22.2105,0.5047,0.03635
1,512,1,5,47.5969,0.8437,0.4381
1,512,1,10,52.3820,0.8777,0.5031
1,512,1,15,53.5253,0.8937,0.5123
1,512,1,20,53.3983,0.8946,0.5089
1,512,1,25,54.5628,0.8882,0.5256
1,512,1,30,52.1914,0.8846,0.4901
1,512,1,35,53.6523,0.8868,0.5168
1,512,1,40,53.2501,0.8786,0.5104
1,512,1,45,51.8315,0.8727,0.5011
1,512,1,50,51.2174,0.8728,0.5016
4,512,1,5,47.1311,0.8375,0.4191
4,512,1,10,51.3657,0.8784,0.4897
4,512,1,15,53.9488,0.8941,0.5115
4,512,1,20,54.2240,0.8948,0.5211
4,512,1,25,54.9862,0.8949,0.5213
4,512,1,30,53.9911,0.8903,0.5146
4,512,1,35,53.4194,0.8843,0.5165
4,512,1,40,51.5986,0.8727,0.5011
4,512,1,45,51.5139,0.8708,0.498
4,512,1,50,51.1116,0.8641,0.4905
8,512,1,5,47.6392,0.8422,0.4345
8,512,1,10,51.9373,0.8793,0.5
8,512,1,15,54.3299,0.8945,0.5186
8,512,1,20,52.4031,0.8935,0.4889
8,512,1,25,53.8641,0.8914,0.5185
8,512,1,30,53.1230,0.8905,0.5128
8,512,1,35,52.4243,0.8816,0.493
8,512,1,40,53.0595,0.8779,0.5143
8,512,1,45,51.6833,0.8695,0.4971
8,512,1,50,51.0692,0.8705,0.4918
16,512,1,5,48.6979,0.8434,0.4364
16,512,1,10,53.0807,0.8817,0.5084
16,512,1,15,54.1181,0.8919,0.4953
16,512,1,20,54.2452,0.8964,0.5194
16,512,1,25,52.5090,0.8898,0.4955
16,512,1,30,53.0383,0.8885,0.5252
16,512,1,35,52.5725,0.8813,0.5109
16,512,1,40,48.9519,0.8786,0.4835
16,512,1,45,53.8217,0.8779,0.5258
16,512,1,50,50.9634,0.8653,0.4912
1,512,3,5,49.4177,0.8672,0.4656
1,512,3,10,52.0008,0.8869,0.511
1,512,3,15,53.0595,0.8855,0.5166
1,512,3,20,52.0432,0.8801,0.5071
1,512,3,25,52.5937,0.877,0.5055
1,512,3,30,52.6996,0.8662,0.492
1,512,3,35,50.8363,0.8699,0.4814
1,512,3,40,50.3917,0.8671,0.4906
1,512,3,45,50.4764,0.8598,0.4762
1,512,3,50,49.9047,0.8604,0.4836
4,512,3,5,50.2011,0.8698,0.471
4,512,3,10,53.9699,0.8923,0.5199
4,512,3,15,52.5302,0.8884,0.5058
4,512,3,20,50.4552,0.8725,0.4812
4,512,3,25,50.9210,0.872,0.4981
4,512,3,30,49.5871,0.8583,0.4692
4,512,3,35,49.2060,0.8575,0.4729
4,512,3,40,49.3542,0.86,0.4812
4,512,3,45,49.3754,0.8594,0.4778
4,512,3,50,49.7353,0.8584,0.4819
8,512,3,5,50.3917,0.8631,0.4586
8,512,3,10,53.5041,0.8901,0.5155
8,512,3,15,54.1605,0.8899,0.5182
8,512,3,20,52.1914,0.8686,0.5001
8,512,3,25,51.2810,0.8648,0.4931
8,512,3,30,51.1963,0.8576,0.4922
8,512,3,35,49.7989,0.8558,0.4814
8,512,3,40,49.6506,0.8595,0.4748
8,512,3,45,49.2484,0.8482,0.4726
8,512,3,50,49.5024,0.8527,0.4836
16,512,3,5,50.3917,0.8582,0.4728
16,512,3,10,53.3983,0.8907,0.5205
16,512,3,15,54.1605,0.8907,0.5155
16,512,3,20,52.6360,0.8743,0.5154
16,512,3,25,50.9210,0.8567,0.4933
16,512,3,30,50.8787,0.8557,0.4791
16,512,3,35,50.2011,0.8532,0.4891
16,512,3,40,49.1001,0.8528,0.4685
16,512,3,45,49.4389,0.853,0.4801
16,512,3,50,49.2060,0.847,0.4773
1,512,6,5,50.2223,0.8748,0.4676
1,512,6,10,52.7631,0.8889,0.4985
1,512,6,15,52.5937,0.8888,0.497
1,512,6,20,49.4177,0.8743,0.4705
1,512,6,25,49.3966,0.8689,0.4841
1,512,6,30,49.1213,0.8665,0.4746
1,512,6,35,51.1539,0.8689,0.4879
1,512,6,40,50.4764,0.8695,0.4864
1,512,6,45,43.6799,0.8303,0.3547
1,512,6,50,22.2105,0.5165,0.03635
4,512,6,5,51.3445,0.8705,0.4669
4,512,6,10,53.3347,0.8889,0.5116
4,512,6,15,53.1654,0.8839,0.5002
4,512,6,20,53.4406,0.8749,0.5043
4,512,6,25,51.1328,0.8628,0.4851
4,512,6,30,50.3705,0.859,0.4834
4,512,6,35,49.7777,0.8533,0.4763
4,512,6,40,48.9308,0.8615,0.4661
4,512,6,45,49.3331,0.8592,0.464
4,512,6,50,50.8999,0.8655,0.4887
8,512,6,5,46.6653,0.8647,0.4467
8,512,6,10,53.6947,0.8938,0.5172
8,512,6,15,50.8575,0.889,0.4927
8,512,6,20,50.5823,0.8704,0.4868
8,512,6,25,50.2011,0.8602,0.4886
8,512,6,30,50.3070,0.8601,0.488
8,512,6,35,46.6229,0.8499,0.4637
8,512,6,40,49.4389,0.8552,0.4763
8,512,6,45,49.5871,0.8602,0.475
8,512,6,50,50.8787,0.8612,0.4844
16,512,6,5,48.9308,0.8612,0.452
16,512,6,10,53.8005,0.8879,0.502
16,512,6,15,54.6051,0.8893,0.517
16,512,6,20,50.3705,0.8695,0.4892
16,512,6,25,50.6458,0.8628,0.4851
16,512,6,30,48.6343,0.854,0.46
16,512,6,35,50.7093,0.851,0.4914
16,512,6,40,50.0106,0.8632,0.4761
16,512,6,45,49.8835,0.8562,0.4795
16,512,6,50,49.9471,0.8589,0.4786
1,512,10,5,46.8770,0.8569,0.4236
1,512,10,10,51.5774,0.8752,0.4859
1,512,10,15,50.4340,0.8733,0.4503
1,512,10,20,49.9471,0.8675,0.4607
1,512,10,25,51.7468,0.8741,0.4928
1,512,10,30,22.2105,0.5362,0.03635
1,512,10,35,22.2105,0.5003,0.03635
1,512,10,40,22.2105,0.4951,0.03635
1,512,10,45,22.2105,0.5023,0.03635
1,512,10,50,22.2105,0.4948,0.03635
4,512,10,5,48.3167,0.8658,0.4283
4,512,10,10,47.2793,0.8741,0.4391
4,512,10,15,52.4031,0.8853,0.4983
4,512,10,20,50.3070,0.8614,0.478
4,512,10,25,51.8738,0.8668,0.4848
4,512,10,30,51.9585,0.8636,0.4746
4,512,10,35,52.0432,0.868,0.4882
4,512,10,40,50.6034,0.851,0.4662
4,512,10,45,22.2105,0.5336,0.03635
4,512,10,50,22.2105,0.4953,0.03635
8,512,10,5,46.2630,0.8565,0.3965
8,512,10,10,46.4112,0.8739,0.4377
8,512,10,15,42.3460,0.8394,0.3575
8,512,10,20,51.1751,0.8734,0.4825
8,512,10,25,45.3102,0.8656,0.438
8,512,10,30,24.7089,0.751,0.1613
8,512,10,35,22.2105,0.5075,0.03635
8,512,10,40,22.2105,0.4943,0.03635
8,512,10,45,22.2105,0.5106,0.03635
8,512,10,50,22.2105,0.502,0.03635
16,512,10,5,46.0301,0.8461,0.3996
16,512,10,10,50.9210,0.8858,0.4897
16,512,10,15,47.9992,0.8725,0.4509
16,512,10,20,46.2630,0.8031,0.3972
16,512,10,25,50.1376,0.855,0.4803
16,512,10,30,50.2011,0.8603,0.4715
16,512,10,35,28.1177,0.652,0.1069
16,512,10,40,22.2105,0.504,0.03635
16,512,10,45,22.2105,0.484,0.03635
16,512,10,50,22.2105,0.4752,0.03635
